ツイート本文,ツイート本文_x,時間,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,返信,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,フォローしている,メディアの再生数,メディアのエンゲージメント数,media_exist,reply_flg,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
"最近涙焼けがひどくなってしまいました😭
ドッグフードのせいなのかな？ https://t.co/d5eTAGIWuU",最近涙焼けがひどくなってしまいました😭 ドッグフードのせいなのかな ,2021-01-30 13:16:00+00:00,264.0,6.0,4393.0,661.0,0.1504666514910084,5.0,77.0,4.0,0.0,248.0,0,1115,57,True,False,34,20210130,2021,1,30,13,5,4
寝落ちしました💤 https://t.co/B4bGzdePMY,寝落ちしました💤 ,2021-01-28 15:26:00+00:00,144.0,3.0,1389.0,199.0,0.1432685385169186,0.0,28.0,0.0,0.0,4.0,0,329,20,True,False,9,20210128,2021,1,28,15,3,4
討論番組を真面目に見るみるく📺 https://t.co/MTvg55CupR,討論番組を真面目に見るみるく📺 ,2021-01-23 03:38:00+00:00,159.0,1.0,1450.0,223.0,0.1537931034482758,1.0,20.0,0.0,0.0,20.0,0,362,22,True,False,16,20210123,2021,1,23,3,5,3
かまって〜😛 https://t.co/vaaurppsOw,かまって〜😛 ,2021-01-22 06:05:00+00:00,209.0,5.0,2036.0,316.0,0.1552062868369351,0.0,34.0,0.0,0.0,18.0,0,438,50,True,False,7,20210122,2021,1,22,6,4,3
まだまだ眠い🥱 https://t.co/OoMZyq8WeJ,まだまだ眠い🥱 ,2021-01-19 01:40:00+00:00,179.0,3.0,1721.0,246.0,0.1429401510749564,1.0,17.0,1.0,0.0,19.0,0,332,26,True,False,8,20210119,2021,1,19,1,1,3
リュックでお散歩🐶 https://t.co/4OtAvo59YF,リュックでお散歩🐶 ,2021-01-17 09:28:00+00:00,216.0,6.0,1885.0,301.0,0.1596816976127321,1.0,17.0,0.0,0.0,17.0,0,486,44,True,False,10,20210117,2021,1,17,9,6,2
"初めて電車に乗りました😊
不安でここでもお得意のホリホリしてます🐩 https://t.co/8kd8lZ6aem",初めて電車に乗りました😊 不安でここでもお得意のホリホリしてます🐩 ,2021-01-17 07:20:00+00:00,141.0,0.0,1310.0,230.0,0.1755725190839694,0.0,22.0,0.0,0.0,7.0,0,383,60,True,False,34,20210117,2021,1,17,7,6,2
"この手が可愛い🥺💞
お化けみたい笑👻 https://t.co/kcfhsuJhqR",この手が可愛い🥺💞 お化けみたい笑👻 ,2021-01-14 22:48:00+00:00,372.0,10.0,3778.0,533.0,0.141079936474325,1.0,45.0,1.0,0.0,28.0,0,910,76,True,False,19,20210114,2021,1,14,22,3,2
おはようございます☀ https://t.co/kd2DQWIctW,おはようございます☀ ,2021-01-11 01:32:00+00:00,215.0,3.0,1652.0,291.0,0.1761501210653753,0.0,22.0,0.0,0.0,15.0,0,398,36,True,False,11,20210111,2021,1,11,1,0,2
高いところ苦手なみるくですが、意外と落ち着いてリュックで移動できました👏 https://t.co/CzHqlAhk3A,高いところ苦手なみるくですが、意外と落ち着いてリュックで移動できました👏 ,2021-01-09 00:24:00+00:00,234.0,2.0,2150.0,358.0,0.1665116279069767,2.0,31.0,1.0,0.0,41.0,0,580,47,True,False,37,20210109,2021,1,9,0,5,1
初めての雪に大はしゃぎ💞❄☃ https://t.co/MrxFylKrIP,初めての雪に大はしゃぎ💞❄☃ ,2021-01-08 04:05:00+00:00,334.0,4.0,2987.0,466.0,0.1560093739537998,6.0,38.0,0.0,0.0,33.0,0,766,51,True,False,15,20210108,2021,1,8,4,4,1
寒すぎて布団から出れません🥶 https://t.co/n45mukmgJr,寒すぎて布団から出れません🥶 ,2021-01-06 22:54:00+00:00,239.0,4.0,2295.0,325.0,0.1416122004357298,2.0,29.0,2.0,0.0,16.0,0,538,33,True,False,15,20210106,2021,1,6,22,2,1
今日もママの膝の上がお気に入り🐶 https://t.co/EbyEQatwQG,今日もママの膝の上がお気に入り🐶 ,2021-01-05 15:49:00+00:00,224.0,4.0,2486.0,339.0,0.1363636363636363,0.0,37.0,2.0,0.0,33.0,0,520,39,True,False,17,20210105,2021,1,5,15,1,1
